id,name,type,fias_id
0,Алнашский Район,Район,a09e3cff-361c-4f1c-a6c6-a5af13cead2f
1,Балезинский Район,Район,2fa6c3b9-173a-44f5-889e-051b7dead725
2,Вавожский Район,Район,2147a660-d905-41b8-b783-42280660896f
3,Воткинский Район,Район,a2750c1b-8dc3-48a4-a7fc-6d07804ff49a
4,Глазовский Район,Район,35d9d03b-9763-42bf-8187-27d7de1b65dc
5,Граховский Район,Район,48dc8855-8722-4334-b510-fb6ca43cfd46
6,Дебёсский Район,Район,42db791d-d878-4341-86d1-e65189201e1f
7,Завьяловский Район,Район,0138fa72-5d23-4bc1-ae4f-900249c9e011
8,Игринский Район,Район,bc661ab5-e36e-4541-b82c-6bf18fbc8595
9,Камбарский Район,Район,8a0f1307-150f-46f9-aa76-7c82a7c796c2
10,Каракулинский Район,Район,78dfc379-41b1-4e85-bec2-8963127bc355
11,Кезский Район,Район,7ce7e613-4347-4a44-9fba-8d81ac19ab3c
12,Кизнерский Район,Район,4938bc93-67cb-41aa-a058-9103f05862cc
13,Киясовский Район,Район,ae204580-6e2d-41c6-a233-48e1f3aad3e7
14,Красногорский Район,Район,e68b30d9-ee15-43f2-af77-487d22b464c6
15,Малопургинский Район,Район,f2973df9-0808-4c27-b171-b10d1cfca1c9
16,Можгинский Район,Район,511c2eef-602e-46c3-9aa6-6edab7e2a861
17,Сарапульский Район,Район,4693325a-809a-48f8-8a53-1dd68e3c0fac
18,Селтинский Район,Район,db8abeb7-8603-45e9-8fbe-d847bbbe6729
19,Сюмсинский Район,Район,133f5360-8fd4-4ded-9777-b829be9d1c83
20,Увинский Район,Район,effd4b1a-3c3c-4ff3-b584-99c9413d485e
21,Шарканский Район,Район,dd78a219-a6b5-4e93-828d-42c286125a3d
22,Юкаменский Район,Район,85b4bfdb-23a3-425e-b781-b20a294f0da1
23,Якшур-Бодьинский Район,Район,7c18eacc-34b1-46e6-b5f2-79daf23d59ae
24,Ярский Район,Район,bd09c1ed-7191-4286-b532-feb1927ee8cd
25,Воткинск Город,Город,d948319d-b151-48f5-9791-22ccfeeabfe7
26,Глазов Город,Город,afeea607-0207-467f-8c59-562fc634f924
27,Ижевск Город,Город,deb1d05a-71ce-40d1-b726-6ba85d70d58f
28,Можга Город,Город,7096d8a5-2b41-47b1-95ae-35efcbc07dee
29,Сарапул Город,Город,e69a280f-9064-490e-bae0-8bd39527872f
